0.43	4.22311928350371e-024	-3.752533960496289e-024	3.780203785184037e-024	-4.250789108191458e-024
0.44	4.315859437503711e-024	-3.84527411449629e-024	3.872319267540346e-024	-4.342904590547767e-024
0.45	4.40859959150371e-024	-3.93801426849629e-024	3.964462245418362e-024	-4.435047568425782e-024
0.46	4.501339745503711e-024	-4.03075442249629e-024	4.056630947920729e-024	-4.527216270928149e-024
0.47	4.594079899503711e-024	-4.12349457649629e-024	4.148823752596361e-024	-4.619409075603782e-024
0.48	4.68682005350371e-024	-4.21623473049629e-024	4.241039170248301e-024	-4.711624493255722e-024
0.49	4.779560207503711e-024	-4.30897488449629e-024	4.333275831564864e-024	-4.803861154572285e-024
0.5	4.872300361503711e-024	-4.40171503849629e-024	4.425532475324455e-024	-4.896117798331876e-024
0.51	4.96504051550371e-024	-4.49445519249629e-024	4.517807937962664e-024	-4.988393260970084e-024
0.52	5.057780669503711e-024	-4.58719534649629e-024	4.610101144321964e-024	-5.080686467329385e-024
0.53	5.150520823503711e-024	-4.67993550049629e-024	4.702411099430911e-024	-5.172996422438331e-024
0.54	5.243260977503711e-024	-4.77267565449629e-024	4.794736881181888e-024	-5.265322204189309e-024
0.55	5.336001131503711e-024	-4.86541580849629e-024	4.887077633795112e-024	-5.357662956802533e-024
